ts_utc,elapsed_s,scenario,deployment,replicas,ready,cpu_pct,desired
2026-07-13T00:41:02Z,0,hpa,api-gateway,3,3,,
2026-07-13T00:41:02Z,0,hpa,authorization,3,3,,
2026-07-13T00:41:02Z,0,hpa,patient-data,3,3,,
2026-07-13T00:41:02Z,0,hpa,data-transform,3,3,,
2026-07-13T00:41:08Z,6,hpa,api-gateway,3,3,,
2026-07-13T00:41:08Z,6,hpa,authorization,3,3,,
2026-07-13T00:41:08Z,6,hpa,patient-data,3,3,,
2026-07-13T00:41:08Z,6,hpa,data-transform,3,3,,
2026-07-13T00:41:14Z,12,hpa,api-gateway,3,3,,
2026-07-13T00:41:14Z,12,hpa,authorization,3,3,,
2026-07-13T00:41:14Z,12,hpa,patient-data,3,3,,
2026-07-13T00:41:14Z,12,hpa,data-transform,3,3,,
2026-07-13T00:41:23Z,21,hpa,api-gateway,3,3,,
2026-07-13T00:41:23Z,21,hpa,authorization,3,3,,
2026-07-13T00:41:23Z,21,hpa,patient-data,3,3,,
2026-07-13T00:41:23Z,21,hpa,data-transform,3,3,,
2026-07-13T00:41:29Z,27,hpa,api-gateway,3,3,,
2026-07-13T00:41:29Z,27,hpa,authorization,3,3,,
2026-07-13T00:41:29Z,27,hpa,patient-data,3,3,,
2026-07-13T00:41:29Z,27,hpa,data-transform,3,3,,
2026-07-13T00:41:35Z,33,hpa,api-gateway,3,3,,
2026-07-13T00:41:35Z,33,hpa,authorization,3,3,,
2026-07-13T00:41:35Z,33,hpa,patient-data,3,3,,
2026-07-13T00:41:35Z,33,hpa,data-transform,3,3,,
2026-07-13T00:41:43Z,41,hpa,api-gateway,1,1,,0
2026-07-13T00:41:43Z,41,hpa,authorization,1,1,,0
2026-07-13T00:41:43Z,41,hpa,patient-data,1,1,,0
2026-07-13T00:41:43Z,41,hpa,data-transform,1,1,,0
2026-07-13T00:41:48Z,46,hpa,api-gateway,1,1,,0
2026-07-13T00:41:48Z,46,hpa,authorization,1,1,,0
2026-07-13T00:41:48Z,46,hpa,patient-data,1,1,,0
2026-07-13T00:41:48Z,46,hpa,data-transform,1,1,,0
2026-07-13T00:41:54Z,52,hpa,api-gateway,1,1,,0
2026-07-13T00:41:54Z,52,hpa,authorization,1,1,,0
2026-07-13T00:41:54Z,52,hpa,patient-data,1,1,,0
2026-07-13T00:41:54Z,52,hpa,data-transform,1,1,,0
2026-07-13T00:41:59Z,57,hpa,api-gateway,1,1,2,1
2026-07-13T00:41:59Z,57,hpa,authorization,1,1,14,1
2026-07-13T00:41:59Z,57,hpa,patient-data,1,1,5,1
2026-07-13T00:41:59Z,57,hpa,data-transform,1,1,2,1
2026-07-13T00:42:04Z,62,hpa,api-gateway,1,1,2,1
2026-07-13T00:42:04Z,62,hpa,authorization,1,1,14,1
2026-07-13T00:42:04Z,62,hpa,patient-data,1,1,5,1
2026-07-13T00:42:04Z,62,hpa,data-transform,1,1,2,1
2026-07-13T00:42:10Z,68,hpa,api-gateway,1,1,2,1
2026-07-13T00:42:10Z,68,hpa,authorization,1,1,14,1
2026-07-13T00:42:10Z,68,hpa,patient-data,1,1,5,1
